,0,1
0,واقعا که بستگی داره کنار کی باشی,"""غیرتنفر"""
1,مرده شورتو ببرن معلوم نیست اخرش چکار میکنه با خودشو فرهنگ جامعه تو مثلا شدی الگو مردم ایران بعد ریدی به خودت یه بار با ژارمی یه بار با تتلو معلوم نیست دیگه میخوای چکار کنی حیف ما که این همه سال تو رو کردیم اگلو چچ,"""تنفر"""
2,مبارکه حاجی تتلو میخواد باغ شمارو بیل بزنه حاج خانوم,"""تنفر"""
3,سکینه حسینی بودی اصرار داری بگی فرشته هستی,"""تنفر"""
4,اه اه حالمونو به هم زدین شما دوتا,"""تنفر"""
5,فقط باید شاشید رو ده میلیونی که تو جینداخانمو فالو کردن,"""تنفر"""
6,دمتگرم خداوکیلی نکوار این دیوثها آوردی جلوی چشماشون,"""تنفر"""
7,سحری واقعا با تتل اوکی شدی,"""غیرتنفر"""
8,تتلو عادت داش بره سمت خرابا,"""تنفر"""
9,خانوادت قبل تولدت اومدن ایران یا خودتم افغانستان بدنیا اومدی بعد وارد ایران شدی,"""غیرتنفر"""
10,چه ساکت شدی یه چند وقتهیعنی آقا امیر انقد عاشقت و انقدر ازش ارامش میگیری حالا عشق چند ماهه,"""غیرتنفر"""
11,عجب داستانهای داریم هر روز یکی با یکی دیگه رل میزنه مام بیکار بی آر میخونیمکامنت میزاریم کلا خوشیم دور هم,"""غیرتنفر"""
12,بعد که جدا شدین امیر همه نشونی‌های بدنتو لو میده,"""تنفر"""
13,فامیله جذاب‌تر از تو داریم مگ,"""غیرتنفر"""
14,با تاتلو به هم میاید,"""غیرتنفر"""
15,به نظرم با این سیستم روسری که خودتو دار زدی و ژست بی ربط دقیقا فقط شبیه احمق هایی حتی اگه این روسری هم نمیذاشتی باز این حالت چون متداول نیست و یا حداقل اینکه ما متوجه صمیمیت نمیشیم که مثلا با یه خانم ممکن بود ادم بخواد این عکسو بگیره حتی اگه با یک خانم بود خیلی احمقانه بود اما حالا که خانم و اقا هستند احمقانه‌تر هم هست به هر حال هر چقدر تو معیوب باشی باز این حالت یه نمایش رمانتیکه که اصلا در نیومده بیش از هر چیزی در نیومده,"""تنفر"""
16,شب بخیر بچه‌ها من میرم بخوابم شماهم بخوابید که میخوام کرکره کامنت رو ببندم,"""غیرتنفر"""
17,سینا خیلی فهمیده ایواقعا معلومه بچه تهران هستی,"""غیرتنفر"""
18,فکر کن طلبه بره واسه تحقیقات علمی البته فکر کنم کارخونه جنرال موتورز رو طلبه‌ها کلنگشو زدن انقدر پیشرفت کرده,"""تنفر"""
19,چقدر حس خوبی به آدم میدی دختر,"""غیرتنفر"""
20,من اینهمه کامنت گذاشتم اومدید گفتید قضاوت نکنیداین هرزه فقط پول میشناسه همین وبس بعد یه مدت ازبین میره رابطشون میگید نه تماشا کن,"""تنفر"""
21,یعنی بین این همه کامنت یه شوهر پیدا نمیشه,"""غیرتنفر"""
22,مگه داریم خوشگل‌تر از سمیرا,"""غیرتنفر"""
23,تعصف برای همچین آدمای که دارن به مملکت حکومت میکنن و تصمیم میگیرن,"""تنفر"""
24,عزیز دلم دختر قشنگم خوش باشی همیشه انشاالله همراه با یارت,"""غیرتنفر"""
25,ریحانه پارسا رف لختشو دیدیم ایشالا قسمت باشه لخت توعم ببینیم البته اگ تتلو غیرتی نشه موافقا لایک کنن,"""تنفر"""
26,خدا وکیلی نرو اونطور جاها,"""غیرتنفر"""
27,واقعا ایشون ک ایقد جنده تشیف دارن رو چطور میزارن تو تلویزیون بازی کنه,"""تنفر"""
28,موخام چقدر قیافه نازی دارایی دخمل,"""غیرتنفر"""
29,سلام حاج خانوم از حاجی آقا چه خبر,"""غیرتنفر"""
30,میشه یک عکس از زبونت بزاری الان شبیه رنگی کمان شده فکر کنم,"""تنفر"""
31,پیر شدی حالا دنبال شوهری پیردختر جان,"""تنفر"""
32,شنیدم با تتلو می‌پری,"""غیرتنفر"""
