,Unnamed: 0,sentence,label
0,0,تتلو توهمی عمرا سحر بهش محل بزاره,"""تنفر"""
1,1,همه رو به یه چشم نگاه کن خودت رو تنهاتر کن و فقط خدا رو لمس کن شاید فرق شجاعت و حماقت رو آموختی,"""غیرتنفر"""
2,2,جدن به ما مربوط نیست زندگی دیگران این که مثل عقدای‌ها ریخیت چرتو پرت میگین تو کامنت‌ها شخصیت خودتو زیر سوال میبره,"""غیرتنفر"""
3,3,ینی واسه حاشیه ساختن حاضرن گوه بزنن به زندگیشون واقعا چرا,"""تنفر"""
4,4,البته شوهرمو پیدا نکردما ولی حس میکنم یکی بردتش,"""غیرتنفر"""
5,5,حاج خونم تتلو بدبخت شدنت مبارکت,"""تنفر"""
6,6,تتلو رو بچسباون نون حلال درمییاره,"""غیرتنفر"""
7,7,به همین زودی پورن بازی کنی تبلیغ افزایش سایز باهات میگیرنناامید نباش و محکم ادامه بده,"""تنفر"""
8,8,تتلو سحرم ادمه ک گرفتیش با ی دختر افغانی میخوای عروسی کنی,"""تنفر"""
9,9,آخر رفت پیش تتلو یا ن,"""غیرتنفر"""
10,10,مگه من خار داشتم ک رفتی بی احساس,"""تنفر"""
11,11,خار مادر هر چی بازیگره با این کارات گاییدی,"""تنفر"""
12,12,چیکار کردی با خودت قریشی,"""غیرتنفر"""
13,13,از اول باید خواننده میشدیم,"""غیرتنفر"""
14,14,آخ اگه یه نظرسنجی تو ایران بزارن آیا از سحر قریشی بدتون میاد یا نه درصد میگن آره پس برو گمشو از این مملکت که یه وقتی منقلب نشی,"""تنفر"""
15,15,رفتی با تتلو ازدواج کنی مطما باش اخرش پشیمان میشی,"""تنفر"""
16,16,سحر یکم واسه خودت ارزش قائل شو نکن با خودت اینجوری,"""تنفر"""
17,17,ی مدت با تتلو کلیپ درست میکنین تا فالورات زیاد بشه بعد دعوا میکنید و جدا میشد,"""تنفر"""
18,18,کسی عروس واسه مامانش نمیخواد,"""غیرتنفر"""
19,19,سحر نصیحتی از طرف من نزار تتلو طعمتو زیاد بچشه یکم که مزت تو زبونش تکراری شد دیگه شیرینی قبلو براش نداشته باشی ولت میکنه باهاش سلیطه باش ولی بازم امیر ارزه داره هر طعمیو میخواد اراده کنه میتونه بچشه شبا توهم زمان وقت خودتو داره هرموقع سیرت شد فیتلتو میزنه هرری میری پی کارت توهم میدونی چیکار کنی پول نداشت پیش نبودی الان یکم جییاش پرشده پیشی بعدش موقعش برسه امیر بخواد کاری بات کنه توهم میدونی باهاش چیکار کنی,"""تنفر"""
20,20,امیر طعمتو بچشه ولت میکنه منتظر باش,"""تنفر"""
21,21,برای سلامتی سحر جان یه کف بزن,"""غیرتنفر"""
22,22,ببین تقصای اون شبایی که با امیر خوابیدی به دوست پسر بعدیت چه جور طعریف میکنی,"""تنفر"""
23,23,عشقترینو بینظیرترینیمطمئنم خیلی خوش قلبومهربونیهمیشه خوش بدرخشی عزیزم,"""غیرتنفر"""
24,24,سحر کی تو بیو میزنیچشم بد دور ک همجانیوجانانی,"""غیرتنفر"""
25,25,مگه توره جمشید قاسم پور نگفت بیای ایران کجا رفتی,"""غیرتنفر"""
26,26,ب پای تتلو پیر شی,"""غیرتنفر"""
27,27,میلیون نفرر,"""تنفر"""
28,28,پارسال مهرادو دنیا امسالم سحر و تتلوو ما هم علاف اینها,"""تنفر"""
29,29,پارسال این زمان میره پیش یکی دیگه,"""تنفر"""
30,30,قید بازیگری ایران اومدن بزنی,"""غیرتنفر"""
31,31,ازحاجیتون تتلومتل چه خبره حاجی خانیم,"""غیرتنفر"""
32,32,حاج خانم تتلو شدی خوش میگذره,"""غیرتنفر"""
33,33,ای شیطون تو هم اومدی کامنت بخونی,"""غیرتنفر"""
34,34,همیگن امیر کار خودشو کرده,"""غیرتنفر"""
35,35, جناب خیلی چیزا گفتنی نیست باید تجربه کنی,"""غیرتنفر"""
36,36,سحر ناز شنیدم رفتی چرا اخه,"""غیرتنفر"""
37,37,چقد تحمل زیاد این کامنتارو چه جوری تحمل میکنی,"""غیرتنفر"""
38,38,ز تتلو چه خبر چیزش میچسبه بهت یا نه,"""تنفر"""
39,39,پیج تتلو رو کی دارع,"""غیرتنفر"""
40,40,یعنی اینم ممنوع الکار شد,"""غیرتنفر"""
41,41,مهم اینه در این لحظه حس خوبی داری در کنار تتل همین بسه اینکه بعدها چی بشه اصلا مهم نیست,"""غیرتنفر"""
42,42,یعنی عیدی به ما یه شوهر نمیرسه,"""غیرتنفر"""
43,43,این تیغ و محکم‌تر بزن,"""غیرتنفر"""
44,44,آخرش زن تتل شد یانه پ,"""غیرتنفر"""
45,45,سلام راست که شما میخواین با امیر تتلو ازدواج کنین,"""غیرتنفر"""
46,46,معلوم نیست این خواندده چقدر پول داده به سحر اخه هر جا میرم اهنگ‌های اینو گذاشتن برای تبلیغ,"""غیرتنفر"""
47,47,حیف حیف از او ک به اون دادی,"""تنفر"""
48,48,از همون اول از سحر قریشی خوشم نمیومد به نظرم خیلی خزه,"""تنفر"""
49,49,سحر قریشی واقعا میخا با امیر تتلو ازدواج کنی,"""غیرتنفر"""
50,50,عکس پروفایل تو عوض کردی و نماد تک چشم ایلومینیاتی گذاشتی که ثابت کنی توام آره توام مث تتلو شیطان پرست شدی بابا فهمیدیم,"""تنفر"""
51,51,ورودت به باند پول دزدا تبریک,"""تنفر"""
52,52, بیا پایین بیا پایین,"""غیرتنفر"""
53,53,نفت در اومده یا چی,"""تنفر"""
54,54,ی سری آدما قرار ی سری دیگه رو سرگرم کنن و جنجالی بشن و حاشیه سازی کنن توجه‌ها بره سمت این لمپنای هرزه تا نفهمیم تو مملکت چی میگذره اینا نماینده همچین سیستمی هستن,"""تنفر"""
55,55,سحر توی واتساپ جواب سوالم بده به ضرر نمیکنید,"""غیرتنفر"""
56,56, یعنی دختر به این خوشگلی نباید یه شوهر داشته باشه,"""غیرتنفر"""
57,57,از تتل بپرس نفر بعد تو کیه از الان بدونیم,"""تنفر"""
58,58,دیگه هیچ چیز از هیچکس بعید نیس,"""تنفر"""
59,59,دوستای گلم میدونید چرا سحر قریشی رفته ترکیه باید بگم نرفته بلکه یه روشی از ترکیه اومده ایران اونم اینه بازیگر زن وسط فیلم مثلا نیسان آبی یه خبر عجیب حاشیه ساز در موردش میسازن اونم مهندسی شده که تعقیب کننده‌ی بیشتری پیدا کنند اینم همچین کاری کردن واسش ولی واسش متاسفم چرا این قضیه رو با تتلو قبول کرده آخه لامصب همه الان فک میکنن تتلو کارتو ساخته تو چرا واکنشی نشون نمیدی خوشت میاد برو اینهمه بازیگر خواننده خوشتیب آدم حسابی هست شایعه بساز کردنشم بهت بیاد نه اون عملی حال نداره قربونت آخه,"""غیرتنفر"""
60,60,انگار اون چیزی که فکر میکردی نشد یه پشیمونی خاصی توی قیافت هست,"""غیرتنفر"""
61,61,سحر میخواد حاشیه سازی کنه تتلو هم قصد ازدواج با کسی را نداره اگه الانم گفته حاج خانوم بخاطر پول دراوردن یوتیوب چند روز دیگه هم تتلو دلش زده میشه از این آدم,"""غیرتنفر"""
62,62,تتل ناراحت نشه یه وقت,"""غیرتنفر"""
63,63,توفوتبالیست‌ها فقط با استاد اسدی و دین محمدی نبودی‌ها,"""تنفر"""
64,64,آقا پس چرا تتلو رو فالو نمیکنه والا مهراد جم از همون اول دنیا رو فالو کرد,"""غیرتنفر"""
65,65,مبارک باشه به پای هم پیرشین حاج خانم وحاج تتل,"""غیرتنفر"""
66,66,توی فیلم پاتو توکفش من نکن خیلی خوشگلترین تا تو فیلم نیسان آبی,"""غیرتنفر"""
67,67,سحر گاز ورمه گاز ورمه,"""غیرتنفر"""
68,68,چرا افرادی مثل سحر قریشی که هیچ هنری ندارن جز اینکه چهارتا فیلم آبکی اونم با خواهش و التماس بازی میکنه و ته بازیشم ختم میشه به خیانت رو فالوو میکنید اونوقت کلی پیج‌های هنری و نوازندگی و نقاشی و ورزشی و حتی فروش آنلان رو فالو نمیکنین ایشون چی توی پیجش داره که فالووراش باید باشن نزدیک ده میلیون اونوقت کلی بازیگرای طنز یا غیرطنزمون باید فالووراشون هزارتایی باشه,"""تنفر"""
69,69,من یکی فکر نمیکردم بری پیش تتلوهنوزم باورم نمیشه,"""غیرتنفر"""
70,70,شاشیدم به حیکلت شاشیدم تو صورت تو و تتلو و نظامت,"""تنفر"""
71,71,چطوری سحر یه زنگ بزن کارت دارم,"""غیرتنفر"""
72,72,سلطان مونو با خودت نبر,"""غیرتنفر"""
73,73,سحر راسته میگن کصتو گذاشتی حراج,"""تنفر"""
74,74,چقدر مردم ساده و احمقن,"""تنفر"""
75,75,چشاش داره میگه از پیش سلطان اومدم,"""غیرتنفر"""
76,76,سحر الان تو متارکه ایی,"""غیرتنفر"""
77,77, ب توچه فضولی جای خدا تصمیم نگیر هرکسی رو تو قبر خودش میذارن اگر تصمیمشون واقعیه مبارک,"""غیرتنفر"""
78,78,تتلو تو آهنگ خانم وزیری که دوستی چند روزش بود اول آهنگ میگفت فقط یادم نمیاد خانم وزیری چجوری بود ولی نقطه به نقطشو تعریف کرد حالا وای به حال تو که میخوای زن چند ماهش شی,"""تنفر"""
79,79,سحر خداییش مال تتلو چن سانته,"""تنفر"""
80,80,یعنی اومدی ترکیه نیسان ابی رو بسازی موندگار شدی رفتی پیش امیر تتلو,"""غیرتنفر"""
